"","rec","Part","Task","RT","Acc","Cond"
"1",1,1,"Stroop","7.0212",1,"1"
"2",2,1,"Stroop","1.0126",1,"0"
"3",3,1,"Stroop","0.5890",0,"0"
"4",4,1,"Stroop","0.6345",1,"0"
"5",5,1,"Stroop","0.6532",1,"1"
"6",6,1,"Stroop","0.7689",1,"0"
"7",7,1,"Stroop","0.5511",1,"1"
"8",8,1,"Stroop","0.6366",1,"0"
"9",9,1,"Stroop","0.5854",1,"0"
"10",10,1,"Stroop","0.8507",1,"0"
"11",11,1,"Stroop","0.8531",1,"0"
"12",12,1,"Stroop","0.5693",1,"0"
"13",13,1,"Stroop","0.7325",1,"0"
"14",14,1,"Stroop","0.7362",1,"0"
"15",15,1,"Stroop","0.8369",1,"0"
"16",16,1,"Stroop","0.7173",1,"1"
"17",17,1,"Stroop","0.5685",1,"0"
"18",18,1,"Stroop","0.7853",1,"0"
"19",19,1,"Stroop","0.8861",1,"1"
"20",20,1,"Stroop","0.7036",1,"0"
"21",21,1,"Stroop","0.5523",1,"1"
"22",22,1,"Stroop","0.7194",0,"0"
"23",23,1,"Stroop","1.3506",1,"0"
"24",24,1,"Stroop","0.7680",1,"0"
"25",25,1,"Stroop","1.5046",1,"0"
"26",26,1,"Stroop","0.8529",1,"0"
"27",27,1,"Stroop","0.7348",1,"0"
"28",28,1,"Stroop","0.5670",1,"0"
"29",29,1,"Stroop","1.2699",1,"0"
"30",30,1,"Stroop","0.6518",1,"1"
"31",31,1,"Stroop","0.5958",1,"1"
"32",32,1,"Stroop","0.7350",1,"0"
"33",33,1,"Stroop","4.0706",1,"0"
"34",34,1,"Stroop","1.0692",1,"0"
"35",35,1,"Stroop","0.6675",1,"0"
"36",36,1,"Stroop","1.0194",1,"0"
"37",37,1,"Stroop","0.9046",1,"0"
"38",38,1,"Stroop","0.6189",1,"0"
"39",39,1,"Stroop","0.6846",1,"1"
"40",40,1,"Stroop","0.9520",1,"0"
"41",41,1,"Stroop","1.4875",0,"0"
"42",42,1,"Stroop","0.8188",1,"0"
"43",43,1,"Stroop","0.8019",1,"0"
"44",44,1,"Stroop","0.5677",1,"1"
"45",45,1,"Stroop","1.0928",1,"0"
"46",46,1,"Stroop","0.9030",1,"0"
"47",47,1,"Stroop","0.6829",1,"1"
"48",48,1,"Stroop","1.7051",0,"1"
"49",49,1,"Stroop","0.8031",1,"0"
"50",50,1,"Stroop","0.6035",0,"1"
"51",51,1,"Stroop","1.7716",1,"1"
"52",52,1,"Stroop","0.7522",1,"0"
"53",53,1,"Stroop","0.6686",1,"0"
"54",54,1,"Stroop","0.7538",1,"0"
"55",55,1,"Stroop","0.9030",1,"0"
"56",56,1,"Stroop","0.6334",1,"1"
"57",57,1,"Stroop","1.4899",1,"0"
"58",58,1,"Stroop","1.4045",1,"0"
"59",59,1,"Stroop","0.7358",1,"0"
"60",60,1,"Stroop","1.2036",0,"0"
